epoch,grad_norm,learning_rate,loss,step,eval_acc_depressed,eval_acc_healthy,eval_accuracy,eval_balanced_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,3.5488579273223877,5.21139705882353e-06,2.748405366785386,85,,,,,,,,,,,,,,
1.0,,,,85,0.9421487603305785,0.17073170731707318,0.5759768451519537,0.5564402338238258,0.7001023541453428,0.17050588130950928,169.4138,4.079,0.26,,,,,
2.0,2.082231044769287,1.048483455882353e-05,2.528276869829963,170,,,,,,,,,,,,,,
2.0,,,,170,0.6060606060606061,0.8384146341463414,0.7163531114327062,0.7222376201034737,0.6918238993710691,0.15162067115306854,168.5779,4.099,0.261,,,,,
3.0,2.1947784423828125,1.575827205882353e-05,2.33519484576057,255,,,,,,,,,,,,,,
3.0,,,,255,0.8787878787878788,0.4634146341463415,0.6816208393632417,0.6711012564671102,0.7435897435897436,0.1803177446126938,168.1312,4.11,0.262,,,,,
4.0,7.070279598236084,2.103170955882353e-05,2.1719525505514707,340,,,,,,,,,,,,,,
4.0,,,,340,0.3581267217630854,0.9420731707317073,0.6353111432706223,0.6500999462473963,0.5078125,0.2835943102836609,168.6012,4.098,0.261,,,,,
5.0,4.170705318450928,2.1054554150081093e-05,2.1110263600068935,425,,,,,,,,,,,,,,
5.0,,,,425,0.581267217630854,0.850609756097561,0.7091172214182344,0.7159384868642075,0.6773675762439807,0.22841811180114746,169.4368,4.078,0.26,,,,,
6.0,3.9948878288269043,2.0935394075530944e-05,1.8812884162454044,510,,,,,,,,,,,,,,
6.0,,,,510,0.581267217630854,0.8323170731707317,0.7004341534008683,0.7067921454007928,0.670906200317965,0.1999015063047409,166.9797,4.138,0.264,,,,,
7.0,5.443612575531006,2.073717109805668e-05,1.8306084127987132,595,,,,,,,,,,,,,,
7.0,,,,595,0.8980716253443526,0.5365853658536586,0.7264833574529667,0.7173284955990056,0.7752675386444708,0.24958673119544983,167.2579,4.131,0.263,,,,,
8.0,2.7835099697113037,2.0461393814207193e-05,1.679683012120864,680,,,,,,,,,,,,,,
8.0,,,,680,0.699724517906336,0.7804878048780488,0.7380607814761215,0.7401061613921924,0.737300435413643,0.24582043290138245,166.0632,4.161,0.265,,,,,
9.0,4.845950126647949,2.011016105563145e-05,1.630366605870864,765,,,,,,,,,,,,,,
9.0,,,,765,0.8236914600550964,0.6097560975609756,0.7221418234442837,0.7167237788080361,0.7569620253164557,0.23272502422332764,171.1416,4.038,0.257,,,,,
10.0,7.723787784576416,1.9686145915702353e-05,1.5328010110294117,850,,,,,,,,,,,,,,
10.0,,,,850,0.7575757575757576,0.7103658536585366,0.7351664254703328,0.733970805617147,0.7503410641200545,0.2553124725818634,172.8933,3.997,0.254,,,,,
11.0,1.5601446628570557,1.91925754056621e-05,1.5287556367761947,935,,,,,,,,,,,,,,
11.0,,,,935,0.5179063360881543,0.9115853658536586,0.7047756874095513,0.7147458509709064,0.6482758620689655,0.36420801281929016,169.0022,4.089,0.26,,,,,
12.0,3.8089382648468018,1.8633205895118123e-05,1.3523908727309284,1020,,,,,,,,,,,,,,
12.0,,,,1020,0.8099173553719008,0.6646341463414634,0.7409551374819102,0.7372757508566821,0.7666232073011734,0.27209654450416565,173.7535,3.977,0.253,,,,,
13.0,1.5294326543807983,1.8012294523802207e-05,1.3391523473403033,1105,,,,,,,,,,,,,,
