epoch,grad_norm,learning_rate,loss,step,eval_acc_depressed,eval_acc_healthy,eval_accuracy,eval_balanced_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
24.0,,,,2040,0.7933884297520661,0.7347560975609756,0.7655571635311144,0.7640722636565209,0.7804878048780488,0.32356759905815125,166.2825,4.156,0.265,,,,,
25.0,1.523554801940918,7.838066905733761e-06,1.0886918909409466,2125,,,,,,,,,,,,,,
25.0,,,,2125,0.7245179063360881,0.7530487804878049,0.7380607814761215,0.7387833434119465,0.743988684582744,0.34913212060928345,165.5849,4.173,0.266,,,,,
26.0,6.215657711029053,6.959989061645636e-06,0.9978222117704504,2210,,,,,,,,,,,,,,
26.0,,,,2210,0.7520661157024794,0.75,0.7510853835021708,0.7510330578512396,0.7604456824512534,0.34014892578125,159.0205,4.345,0.277,,,,,
27.0,3.392110824584961,6.109209585369337e-06,0.8810001148897059,2295,,,,,,,,,,,,,,
27.0,,,,2295,0.743801652892562,0.7652439024390244,0.7539797395079595,0.7545227776657932,0.7605633802816901,0.33124303817749023,159.3716,4.336,0.276,,,,,
28.0,7.791463375091553,5.2922034224340085e-06,0.9174768784466911,2380,,,,,,,,,,,,,,
28.0,,,,2380,0.6694214876033058,0.8048780487804879,0.7337192474674384,0.7371497681918968,0.7253731343283583,0.3900919258594513,159.7828,4.325,0.275,,,,,
29.0,0.9812699556350708,4.515188483061408e-06,0.913150203929228,2465,,,,,,,,,,,,,,
29.0,,,,2465,0.7741046831955923,0.7225609756097561,0.7496382054992764,0.7483328294026742,0.7646258503401361,0.3432222902774811,159.9728,4.319,0.275,,,,,
30.0,2.897456407546997,3.7840783201146057e-06,0.9370384665096507,2550,,,,,,,,,,,,,,
30.0,,,,2550,0.7272727272727273,0.7591463414634146,0.7424023154848046,0.7432095343680709,0.7478753541076487,0.35778993368148804,159.0622,4.344,0.277,,,,,
31.0,1.9561481475830078,3.1044371233900095e-06,0.9189628152286305,2635,,,,,,,,,,,,,,
31.0,,,,2635,0.7410468319559229,0.7439024390243902,0.7424023154848046,0.7424746354901566,0.7513966480446927,0.3610720932483673,160.4831,4.306,0.274,,,,,
32.0,0.3525036573410034,2.4814373727732764e-06,0.9149371876436121,2720,,,,,,,,,,,,,,
32.0,,,,2720,0.7355371900826446,0.7591463414634146,0.7467438494934877,0.7473417657730297,0.7531734837799718,0.35892656445503235,159.241,4.339,0.276,,,,,
33.0,3.7396738529205322,1.9198204725441284e-06,0.9424869312959558,2805,,,,,,,,,,,,,,
33.0,,,,2805,0.7327823691460055,0.7530487804878049,0.7424023154848046,0.7429155748169052,0.7492957746478873,0.3514479100704193,158.5565,4.358,0.278,,,,,
34.0,5.491223335266113,1.423860666426865e-06,0.9281432207892922,2890,,,,,,,,,,,,,,
34.0,,,,2890,0.7245179063360881,0.7560975609756098,0.7395079594790159,0.740307733655849,0.7450424929178471,0.3602132499217987,161.5345,4.278,0.272,,,,,
34.0,,,,2890,,,,,,,,,,6475.9254,16.64,0.525,8.6976012071808e+18,0.3380701876841614
34.0,,,,2890,0.7933884297520661,0.7347560975609756,0.7655571635311144,0.7640722636565209,0.7804878048780488,0.32356759905815125,163.2644,4.232,0.27,,,,,
